subject_id,group,device_num,side,device_label,mac_address,date,session_label,fs_hz,duration_s,mean_percent_mvc,max_percent_mvc,min_percent_mvc,iemg_percent_seconds,apdf_p10,apdf_p50,apdf_p90
80,1,#001,left,mBAN_left,588E81A24A27,2025-09-24,09-30-01,1000,1197.329,35.41954778218852,295.11122675181684,2.0373290081739044,42408.83897908993,6.4151228858339895,34.510657978393446,58.249438948451534
80,1,#001,left,mBAN_left,588E81A24A27,2025-09-24,10-30-00,1000,1180.13,44.49881425552017,234.33774153265415,1.9995446594904969,52514.340722926725,25.70510448205665,42.89479211328493,65.72026965836345
80,1,#001,left,mBAN_left,588E81A24A27,2025-09-24,12-30-00,1000,1185.603,22.581351151964906,184.007457384209,1.9517061919624041,26772.490996234766,2.5828199180117175,22.607786621910407,46.03324116933681
80,1,#001,left,mBAN_left,588E81A24A27,2025-09-24,13-30-00,1000,975.603,21.987758791012908,224.13232196578963,1.8824613676157276,21451.286547125404,2.5929772199438537,19.201860120623422,47.21760468371524
80,1,#001,right,mBAN_right,886B0FABF921,2025-09-24,09-30-01,1000,1196.272,30.727443004383435,164.8970709366945,1.4982850310959244,36758.374414527105,5.437358106300004,26.44752924018313,62.51564163917154
80,1,#001,right,mBAN_right,886B0FABF921,2025-09-24,10-30-00,1000,1044.432,29.30392130673882,180.4206699933012,1.3432928404847162,30605.91587481867,6.869136715557272,23.05158714299877,60.05945921689737
80,1,#001,right,mBAN_right,886B0FABF921,2025-09-24,12-30-00,1000,1191.96,17.251247933101666,141.97427841331952,1.354789557801247,20562.749566973314,1.7331899762620817,7.088547098596955,47.44347937059736
80,1,#001,right,mBAN_right,886B0FABF921,2025-09-24,13-30-00,1000,996.566,25.117731443353932,156.30965709243492,1.3488472840038503,25031.45601055139,2.4186035705217104,18.464847229286352,59.100542181865556
85,2,#003,right,mBAN_right,84FD27E50653,2025-09-29,15-30-01,1000,1161.57,7.5150822390904155,96.15430058708347,3.661384069331206,8729.287842010066,4.516716442406508,5.197797319435917,13.530530020766125
85,2,#003,right,mBAN_right,84FD27E50653,2025-09-29,17-30-00,1000,1189.176,11.309807507513694,96.4350290554266,3.9503163283111604,13449.334999660856,5.655365456985009,10.321030912808592,18.25988507066684
85,2,#003,right,mBAN_right,84FD27E50653,2025-09-29,18-30-00,1000,1162.187,9.076396804445729,123.5853570740566,3.8284189143409786,10548.46449595845,4.831115599099409,5.772930632896381,19.025915560842968
85,2,#003,right,mBAN_right,84FD27E50653,2025-09-29,19-30-00,1000,1195.093,10.240159707959151,139.90609689331333,3.97950126060546,12237.928374415349,5.250891177244835,6.648768209393252,18.438171573973307
85,2,#003,left,mBAN_left,886B0FABF79E,2025-09-29,15-30-01,1000,1191.908,9.446512469024814,53.40783912437922,5.379977609423679,11259.36171870191,6.762437995235056,8.237997151507123,12.718318238648338
85,2,#003,left,mBAN_left,886B0FABF79E,2025-09-29,17-30-00,1000,1198.193,9.769195975740184,119.69624689564145,5.3516181440249015,11705.36662664438,6.5761061623503645,7.988280271838256,16.02728797355634
85,2,#003,left,mBAN_left,886B0FABF79E,2025-09-29,18-30-00,1000,1195.432,9.35763323677408,73.3369926459142,5.446691183065358,11186.406887022345,6.6954137943654315,7.930752648974812,13.1909143342085
85,2,#003,left,mBAN_left,886B0FABF79E,2025-09-29,19-30-00,1000,1190.139,10.649613419260671,114.71551510266286,5.111311786508548,12674.510886441298,6.643281831891952,8.811687511426795,16.09554587977847
85,2,#003,right,mBAN_right,84FD27E50653,2025-09-30,15-00-00,1000,1189.021,6.390137432128763,76.33958129940153,1.6743978166042655,7597.996234147325,2.187160716842532,3.4062517973719073,13.983377117197055
85,2,#003,right,mBAN_right,84FD27E50653,2025-09-30,16-30-00,1000,1178.084,8.425531090321474,49.039492689287464,1.6618284244991681,9925.974499047796,3.2134543484344906,7.824070845393938,12.908156750207342
85,2,#003,right,mBAN_right,84FD27E50653,2025-09-30,17-30-00,1000,1098.468,3.1884839423463274,56.41940780821061,1.6493510780900524,3502.4446145912543,2.0847258882241544,2.357827011155599,3.3252520009745967
85,2,#003,right,mBAN_right,84FD27E50653,2025-09-30,19-00-00,1000,1069.923,6.3151689331667455,103.18069542080896,1.727841229686855,6756.729567719836,2.2314452086934518,3.596294255830732,13.611995027093155
85,2,#003,left,mBAN_left,886B0FABF79E,2025-09-30,15-00-00,1000,1192.278,5.589285918188992,55.636442687310314,1.492832842959636,6663.95463613569,1.863573387764015,3.2420386999118893,11.758368776219037
85,2,#003,left,mBAN_left,886B0FABF79E,2025-09-30,16-30-00,1000,1198.326,5.690487402122176,53.17594136402618,1.4932423643328165,6819.054666938537,2.0186265614966175,4.432184186103946,10.259977494799521
85,2,#003,left,mBAN_left,886B0FABF79E,2025-09-30,17-30-00,1000,1194.473,2.712240194186308,67.8338703775583,1.430328473989868,3239.6958803444645,1.771538021847736,2.022162385548978,3.023554525366572
85,2,#003,left,mBAN_left,886B0FABF79E,2025-09-30,19-00-00,1000,1054.514,6.7796125568498535,67.66500740970962,1.6224544281942668,7149.179537043006,2.518889733450666,5.501726504053803,12.027392023670945
85,2,#003,right,mBAN_right,84FD27E50653,2025-10-01,09-15-00,1000,1190.732,17.499566316455493,198.21459770055333,4.53215784809201,20837.283542930978,6.481712870399806,13.395048865187245,33.211284546954225
85,2,#003,right,mBAN_right,84FD27E50653,2025-10-01,10-30-00,1000,1182.47,12.686322269158811,127.49038863424067,4.505962487281838,15001.180989948747,5.750868383365225,10.169594666238076,22.019822564917707
85,2,#003,right,mBAN_right,84FD27E50653,2025-10-01,11-45-00,1000,1158.88,17.58931712844134,216.53696876750536,4.730781844399312,20383.891024852623,7.604663244778489,16.01752836109887,28.389344081661733
85,2,#003,right,mBAN_right,84FD27E50653,2025-10-01,12-30-00,1000,1136.477,19.48150769095382,159.86256998088885,4.975207075196488,22140.26846980727,7.366376541862979,16.154064353146186,36.21078577559704
85,2,#003,left,mBAN_left,886B0FABF79E,2025-10-01,09-15-00,1000,1152.868,7.903049371871993,61.680468453420836,2.14917159538434,9111.168871647107,3.061455431927558,5.641758401923521,14.960688959239524
85,2,#003,left,mBAN_left,886B0FABF79E,2025-10-01,10-30-00,1000,1178.533,5.183130062862781,99.52554659241757,2.026497096440991,6108.468938431463,2.585343353300212,3.780377527155987,8.750435862837595
85,2,#003,left,mBAN_left,886B0FABF79E,2025-10-01,11-45-00,1000,1196.428,9.601794071150612,111.46071860383351,2.1822032005587686,11487.84949876814,3.5794615109974117,7.793314016567981,18.56234752668939
