subject_id,group,date,side,device_label,session_label,mac_address,fs_hz,low_effort_minutes,low_effort_pct,moderate_effort_minutes,moderate_effort_pct,high_effort_minutes,high_effort_pct,gt100pct_minutes,gt100pct_pct,total_minutes
80,1,2025-09-24,left,mBAN_left,09-30-01,588E81A24A27,1000,9.100616666666667,45.604591553365864,9.698966666666667,48.60301554543488,0.9629,4.825240180434951,0.193,0.9671527207643011,19.955483333333337
80,1,2025-09-24,left,mBAN_left,10-30-00,588E81A24A27,1000,4.432166666666666,22.53395812325761,13.311399999999999,67.67762873581724,1.6989333333333334,8.637692457610601,0.22633333333333333,1.15072068331455,19.668833333333332
80,1,2025-09-24,left,mBAN_left,12-30-00,588E81A24A27,1000,13.696,69.3115655071723,5.6796999999999995,28.74334832148704,0.2992666666666667,1.5145035901562327,0.08508333333333334,0.4305825811844268,19.76005
80,1,2025-09-24,left,mBAN_left,13-30-00,588E81A24A27,1000,12.11025,74.47855326398135,3.6826166666666666,22.648249339126675,0.3749,2.305650966632944,0.09228333333333333,0.5675464302590295,16.26005
80,1,2025-09-24,right,mBAN_right,09-30-01,886B0FABF921,1000,12.368233333333334,62.033885270239544,5.9469,29.827163053218662,1.4743,7.394472160177619,0.14843333333333333,0.7444795163641713,19.937866666666668
80,1,2025-09-24,right,mBAN_right,10-30-00,886B0FABF921,1000,11.210116666666666,64.39930986411753,5.101183333333334,29.3050193789543,1.0476333333333332,6.018390857422982,0.048266666666666666,0.2772798995051856,17.4072
80,1,2025-09-24,right,mBAN_right,12-30-00,886B0FABF921,1000,15.670233333333334,78.8796603912883,3.5322999999999998,17.780630222490686,0.5972166666666666,3.0062250411087623,0.06625,0.3334843451122521,19.866000000000003
80,1,2025-09-24,right,mBAN_right,13-30-00,886B0FABF921,1000,11.291366666666667,67.98164898260627,4.2415,25.536693003774964,1.0025,6.035726685437794,0.07406666666666667,0.4459313281809735,16.609433333333335
85,2,2025-09-29,right,mBAN_right,15-30-01,84FD27E50653,1000,19.154616666666666,98.94169098719836,0.1867,0.96438441075441,0.018183333333333333,0.09392460204722919,0.0,0.0,19.359499999999997
85,2,2025-09-29,right,mBAN_right,17-30-00,84FD27E50653,1000,19.64615,99.12485620295061,0.1626,0.8204000080728169,0.01085,0.05474378897656865,0.0,0.0,19.8196
85,2,2025-09-29,right,mBAN_right,18-30-00,84FD27E50653,1000,18.883966666666666,97.49188383625011,0.47426666666666667,2.448487205587397,0.0072833333333333335,0.03760152195817024,0.004266666666666667,0.022027436204328562,19.36978333333333
85,2,2025-09-29,right,mBAN_right,19-30-00,84FD27E50653,1000,19.359166666666667,97.19327282479271,0.47875,2.4035786336293494,0.07198333333333333,0.361394468882338,0.008316666666666667,0.04175407269559775,19.918216666666666
85,2,2025-09-29,left,mBAN_left,15-30-01,886B0FABF79E,1000,19.787516666666665,99.60928192444383,0.07761666666666667,0.3907180755561671,0.0,0.0,0.0,0.0,19.865133333333333
85,2,2025-09-29,left,mBAN_left,17-30-00,886B0FABF79E,1000,19.866133333333334,99.48046767090109,0.09725,0.48698331570957265,0.0050999999999999995,0.025538456659319492,0.0014,0.007010556730009272,19.969883333333332
85,2,2025-09-29,left,mBAN_left,18-30-00,886B0FABF79E,1000,19.8607,99.6829598003065,0.0617,0.30967884413333424,0.0014666666666666667,0.007361355560165697,0.0,0.0,19.923866666666665
85,2,2025-09-29,left,mBAN_left,19-30-00,886B0FABF79E,1000,19.563216666666666,98.62654698316751,0.2533,1.2769936956943684,0.017416666666666667,0.08780486985133669,0.0017166666666666665,0.008654451286782468,19.835649999999998
85,2,2025-09-30,right,mBAN_right,15-00-00,84FD27E50653,1000,19.620133333333335,99.00649357748938,0.19538333333333335,0.9859371701593159,0.0015,0.00756925235130414,0.0,0.0,19.817016666666667
85,2,2025-09-30,right,mBAN_right,16-30-00,84FD27E50653,1000,19.539416666666668,99.51455074510815,0.09531666666666667,0.4854492548918414,0.0,0.0,0.0,0.0,19.634733333333333
85,2,2025-09-30,right,mBAN_right,17-30-00,84FD27E50653,1000,18.294433333333334,99.92698922499336,0.013366666666666667,0.07301077500664563,0.0,0.0,0.0,0.0,18.3078
85,2,2025-09-30,right,mBAN_right,19-00-00,84FD27E50653,1000,17.64265,98.93786749139892,0.16996666666666668,0.9531527035123089,0.018666666666666668,0.1046804302739543,0.0007666666666666667,0.004299374814823123,17.832050000000002
85,2,2025-09-30,left,mBAN_left,15-00-00,886B0FABF79E,1000,19.7639,99.45952202422589,0.1074,0.5404779757741064,0.0,0.0,0.0,0.0,19.871299999999998
85,2,2025-09-30,left,mBAN_left,16-30-00,886B0FABF79E,1000,19.93025,99.79045768847541,0.041850000000000005,0.20954231152457678,0.0,0.0,0.0,0.0,19.9721
85,2,2025-09-30,left,mBAN_left,17-30-00,886B0FABF79E,1000,19.884166666666665,99.88086796436588,0.023033333333333333,0.11569955955471577,0.0006833333333333333,0.0034324760794090785,0.0,0.0,19.907883333333334
85,2,2025-09-30,left,mBAN_left,19-00-00,886B0FABF79E,1000,17.44275,99.24619303299909,0.1316,0.748780955018141,0.0008833333333333333,0.00502601198277121,0.0,0.0,17.575233333333333
85,2,2025-10-01,right,mBAN_right,09-15-00,84FD27E50653,1000,17.8423,89.90587302600417,1.61405,8.13306436712879,0.2984,1.5036129036592616,0.09078333333333334,0.45744970320777467,19.845533333333336
85,2,2025-10-01,right,mBAN_right,10-30-00,84FD27E50653,1000,18.986633333333334,96.34054140908438,0.685,3.47577528393955,0.031116666666666667,0.1578898407570594,0.005083333333333333,0.02579346621901613,19.707833333333333
85,2,2025-10-01,right,mBAN_right,11-45-00,84FD27E50653,1000,18.197583333333334,94.21639859174375,1.0510666666666666,5.441805881540798,0.048633333333333334,0.2517948363937595,0.01738333333333333,0.0900006903216899,19.31466666666667
85,2,2025-10-01,right,mBAN_right,12-30-00,84FD27E50653,1000,16.455783333333333,86.8778690637822,2.348,12.396203354753329,0.12226666666666668,0.6455036045604091,0.015233333333333333,0.08042397690406405,18.941283333333335
85,2,2025-10-01,left,mBAN_left,09-15-00,886B0FABF79E,1000,18.96466666666667,98.69993789401735,0.2498,1.300062105982645,0.0,0.0,0.0,0.0,19.21446666666667
85,2,2025-10-01,left,mBAN_left,10-30-00,886B0FABF79E,1000,19.5201,99.37829488016034,0.11386666666666666,0.5797037503404656,0.00825,0.04200136949919943,0.0,0.0,19.642216666666666
85,2,2025-10-01,left,mBAN_left,11-45-00,886B0FABF79E,1000,19.717733333333335,98.88300842173537,0.21595,1.0829736515695052,0.0057333333333333325,0.02875225253838927,0.00105,0.005265674156739896,19.940466666666666
85,2,2025-10-01,left,mBAN_left,12-30-00,886B0FABF79E,1000,18.851266666666668,96.87303547661585,0.6074,3.1213118348455704,0.0011,0.0056526885385744605,0.0,0.0,19.459766666666667
85,2,2025-10-02,right,mBAN_right,15-30-00,84FD27E50653,1000,19.494016666666667,98.13577097981306,0.3576166666666667,1.8002953367006191,0.010616666666666667,0.053445874515463225,0.0020833333333333333,0.010487808970852282,19.864333333333335
85,2,2025-10-02,right,mBAN_right,17-00-00,84FD27E50653,1000,19.222433333333335,97.05816020142993,0.5398499999999999,2.7258176358911523,0.04065,0.20525050828744162,0.0021333333333333334,0.01077165439146885,19.80506666666667
85,2,2025-10-02,right,mBAN_right,18-00-00,84FD27E50653,1000,19.05495,97.73640423465689,0.4343833333333333,2.2280334012665675,0.006933333333333333,0.03556236407654115,0.0,0.0,19.496266666666667
85,2,2025-10-02,right,mBAN_right,19-00-00,84FD27E50653,1000,7.727966666666666,98.53790606046438,0.11220000000000001,1.4306419187432793,0.0024666666666666665,0.03145202079233591,0.0,0.0,7.842633333333333
85,2,2025-10-02,left,mBAN_left,15-30-00,886B0FABF79E,1000,19.598466666666663,99.08866685823061,0.17956666666666665,0.9078782495999489,0.0006833333333333333,0.0034548921694447653,0.0,0.0,19.778716666666664
85,2,2025-10-02,left,mBAN_left,17-00-00,886B0FABF79E,1000,17.962100000000003,98.75942026860595,0.22348333333333334,1.2287585772095477,0.00215,0.011821154184505307,0.0,0.0,18.187733333333338
85,2,2025-10-02,left,mBAN_left,18-00-00,886B0FABF79E,1000,19.285266666666665,97.0277436309391,0.5838666666666666,2.9375411928268718,0.0069,0.03471517623402389,0.0,0.0,19.876033333333332
85,2,2025-10-02,left,mBAN_left,19-00-00,886B0FABF79E,1000,19.491633333333333,98.42362036274153,0.30548333333333333,1.5425477748817777,0.0067,0.03383186237669675,0.0,0.0,19.803816666666666
85,2,2025-10-03,right,mBAN_right,12-30-00,84FD27E50653,1000,19.350616666666667,97.91847639995345,0.39293333333333336,1.9883311208904648,0.018033333333333335,0.09125272619627939,0.00038333333333333334,0.0019397529598100054,19.761966666666662
85,2,2025-10-03,right,mBAN_right,13-00-00,84FD27E50653,1000,19.26455,98.02137881030016,0.38803333333333334,1.9743810448564922,0.0008333333333333334,0.004240144843347849,0.0,0.0,19.653416666666665
85,2,2025-10-03,right,mBAN_right,14-30-00,84FD27E50653,1000,19.504466666666666,99.37577433788007,0.12251666666666666,0.6242256621199216,0.0,0.0,0.0,0.0,19.62698333333333
85,2,2025-10-03,right,mBAN_right,16-00-00,84FD27E50653,1000,7.195116666666666,99.59626906475152,0.0283,0.39173435888681,0.0008666666666666666,0.011996576361669092,0.0,0.0,7.224283333333333
85,2,2025-10-03,left,mBAN_left,12-30-00,886B0FABF79E,1000,18.568216666666668,93.51556434114383,1.2707833333333334,6.400077223642187,0.016749999999999998,0.08435843521398084,0.0,0.0,19.85575
85,2,2025-10-03,left,mBAN_left,13-00-00,886B0FABF79E,1000,18.587533333333333,93.74662189140459,1.2225666666666666,6.166041129916907,0.017316666666666664,0.08733697867851334,0.0,0.0,19.827416666666664
85,2,2025-10-03,left,mBAN_left,14-30-00,886B0FABF79E,1000,18.766849999999998,94.79372044039083,1.0173666666666668,5.138847030022208,0.01335,0.06743252958696945,0.0,0.0,19.797566666666665
85,2,2025-10-03,left,mBAN_left,16-00-00,886B0FABF79E,1000,19.3915,97.07552766238284,0.5740833333333334,2.873910863291285,0.0101,0.05056147432586787,0.0,0.0,19.975683333333336
107,4,2025-10-13,left,mBAN_left,11-30-00,588E81A24A2B,1000,19.900666666666666,99.84313279527993,0.031266666666666665,0.15686720472006396,0.0,0.0,0.0,0.0,19.931933333333333
107,4,2025-10-13,left,mBAN_left,12-30-01,588E81A24A2B,1000,19.111516666666667,99.21317546083398,0.14481666666666668,0.7517834199267165,0.006750000000000001,0.03504111923930489,0.0,0.0,19.263083333333334
107,4,2025-10-13,left,mBAN_left,14-30-00,588E81A24A2B,1000,19.8774,99.65623793615752,0.06785,0.34016902331131277,0.0007166666666666666,0.0035930405311683736,0.0,0.0,19.945966666666667
107,4,2025-10-13,left,mBAN_left,15-30-00,588E81A24A2B,1000,19.818316666666664,99.67584994040065,0.06445,0.32415005959935156,0.0,0.0,0.0,0.0,19.882766666666665
107,4,2025-10-13,right,mBAN_right,11-30-00,84FD27E506E8,1000,19.758066666666664,99.51112558633032,0.09535,0.48022845477408027,0.0017166666666666665,0.008645958895600466,0.0,0.0,19.85513333333333
107,4,2025-10-13,right,mBAN_right,12-30-01,84FD27E506E8,1000,19.281916666666667,98.53129045445255,0.27863333333333334,1.4238263950398582,0.006833333333333333,0.03491858009129931,0.0019500000000000001,0.009964570416297608,19.569333333333333
107,4,2025-10-13,right,mBAN_right,14-30-00,84FD27E506E8,1000,19.727899999999998,99.33817852227332,0.13058333333333333,0.6575413743328073,0.00085,0.004280103393870221,0.0,0.0,19.859333333333332
107,4,2025-10-13,right,mBAN_right,15-30-00,84FD27E506E8,1000,19.39035,97.9730372693351,0.3954166666666667,1.9979098788959242,0.00575,0.029052851768981827,0.0,0.0,19.791516666666666
107,4,2025-10-14,left,mBAN_left,15-00-01,588E81A24A2B,1000,18.22915,99.87991569442516,0.021916666666666664,0.12008430557483397,0.0,0.0,0.0,0.0,18.251066666666667
107,4,2025-10-14,left,mBAN_left,16-00-00,588E81A24A2B,1000,19.889583333333334,99.8453845014696,0.0308,0.15461549853039977,0.0,0.0,0.0,0.0,19.920383333333334
107,4,2025-10-14,left,mBAN_left,17-00-00,588E81A24A2B,1000,19.967516666666665,99.95127791195819,0.009733333333333333,0.04872208804181423,0.0,0.0,0.0,0.0,19.977249999999998
107,4,2025-10-14,left,mBAN_left,18-00-00,588E81A24A2B,1000,19.951516666666667,99.98889096777212,0.0022166666666666667,0.01110903222788718,0.0,0.0,0.0,0.0,19.953733333333332
107,4,2025-10-14,right,mBAN_right,15-00-01,84FD27E506E8,1000,19.787866666666666,100.0,0.0,0.0,0.0,0.0,0.0,0.0,19.787866666666666
107,4,2025-10-14,right,mBAN_right,16-00-00,84FD27E506E8,1000,19.114116666666668,100.0,0.0,0.0,0.0,0.0,0.0,0.0,19.114116666666668
107,4,2025-10-14,right,mBAN_right,17-00-00,84FD27E506E8,1000,19.259149999999998,99.97975398496084,0.0039000000000000003,0.020246015039155275,0.0,0.0,0.0,0.0,19.26305
107,4,2025-10-14,right,mBAN_right,18-00-00,84FD27E506E8,1000,19.491266666666668,100.0,0.0,0.0,0.0,0.0,0.0,0.0,19.491266666666668
107,4,2025-10-15,left,mBAN_left,10-30-00,588E81A24A2B,1000,19.865150000000003,99.78492697228413,0.03415,0.17153936698708558,0.008666666666666666,0.04353366072878696,0.0,0.0,19.90796666666667
