subject_id,side,date,session_label,iemg_percent_seconds,session_iemg_percent_seconds_pct_change,apdf_p50,session_apdf_p50_pct_change
107,left,2025-10-13,11-30-00,2705.559876973351,,0.9186384607773933,
107,left,2025-10-13,12-30-01,6822.482060631155,152.16525861047703,3.659978085071939,298.413330307845
107,left,2025-10-13,14-30-00,3721.867167190131,-45.44702156613927,1.083904725565259,-70.38493946217292
107,left,2025-10-13,15-30-00,4256.72397783057,14.370658237226552,1.0342538505916605,-4.580741628163433
107,left,2025-10-14,15-00-01,3261.7551975138867,,0.9944626497301141,
107,left,2025-10-14,16-00-00,6502.758592252765,99.36378417390657,3.755895817705203,277.6809333889524
107,left,2025-10-14,17-00-00,2713.9273051777855,-58.26498451886104,0.8391828916433806,-77.6569177534826
107,left,2025-10-14,18-00-00,3566.4212111861852,31.411818009346206,1.119689981719826,33.42621648626863
107,left,2025-10-15,10-30-00,3711.01713488732,,1.5653347274932141,
107,left,2025-10-15,12-00-01,2446.235617662488,-34.08180213814171,1.2832669778418773,-18.019644277812116
107,left,2025-10-15,14-30-00,4569.333727568988,86.79041767592432,1.4520773049900686,13.154731639092482
107,left,2025-10-15,15-30-00,4011.2706505496335,-12.213226485347125,2.635267625583438,81.48259851781528
107,left,2025-10-16,11-30-00,3930.6077886738403,,0.8718608648040087,
107,left,2025-10-16,12-30-00,2587.5117923250955,-34.17018610248814,0.969735370480737,11.225931754458337
107,left,2025-10-16,14-30-00,2726.664073863957,5.377841444108809,0.7066378900158035,-27.130853269228023
107,left,2025-10-16,15-30-00,3764.8473791228903,38.07521855039969,1.81358826729578,156.65030037594224
107,left,2025-10-17,09-00-00,2041.8620776438281,,1.049533189276654,
107,left,2025-10-17,10-30-00,3212.2612399315167,57.32018705388029,1.679946996570076,60.06611451019551
107,left,2025-10-17,12-00-00,3034.0166857666795,-5.548881017181443,1.4407323926533018,-14.239413767528097
107,left,2025-10-17,13-30-00,4858.6075788099515,60.13780021721297,2.9320023629949308,103.50776993326676
107,right,2025-10-13,11-30-00,6504.364486897937,,4.037291407251681,
107,right,2025-10-13,12-30-01,9315.37033829739,43.21722525024238,5.159384216717097,27.79320827448673
107,right,2025-10-13,14-30-00,7228.124061064162,-22.406476623394493,4.121590590973691,-20.114680011246605
107,right,2025-10-13,15-30-00,9945.319996161808,37.591993609163474,4.594714556556822,11.47915968702169
107,right,2025-10-14,15-00-01,1970.1019945402254,,0.9973771804473697,
107,right,2025-10-14,16-00-00,2637.505245145753,33.87658367206941,1.054039082195656,5.681090650466944
107,right,2025-10-14,17-00-00,2099.3727145095263,-20.403088548416846,1.1115662474746906,5.457782946643727
107,right,2025-10-14,18-00-00,2387.5857034655737,13.7285288583634,1.1464361611236051,3.1370072389417816
107,right,2025-10-16,11-30-00,4793.541555254139,,2.688342621885246,
107,right,2025-10-16,12-30-00,2195.920329646385,-54.190022046654306,0.9136114543303846,-66.0158103772614
107,right,2025-10-16,14-30-00,2185.500767241466,-0.4744963769517654,0.9190631221021144,0.5967162239363
107,right,2025-10-17,09-00-00,1326.4540382245482,,0.8915373781035719,
107,right,2025-10-17,10-30-00,2007.0344762149912,51.30825632687556,1.1180914632894998,25.411619383568752
107,right,2025-10-17,12-00-00,2009.5536656638203,0.12551799576358078,1.3295710800076925,18.914339627994792
80,left,2025-09-24,09-30-01,42408.83897908993,,34.510657978393446,
80,left,2025-09-24,10-30-00,52514.340722926725,23.828763029375562,42.89479211328493,24.294332898957332
80,left,2025-09-24,12-30-00,26772.490996234766,-49.018704933400365,22.607786621910407,-47.29479848695068
80,left,2025-09-24,13-30-00,21451.286547125404,-19.87564194104212,19.201860120623422,-15.065280640901484
80,right,2025-09-24,09-30-01,36758.374414527105,,26.44752924018313,
80,right,2025-09-24,10-30-00,30605.91587481867,-16.737569704053477,23.05158714299877,-12.840300000594102
80,right,2025-09-24,12-30-00,20562.749566973314,-32.814460932726,7.088547098596955,-69.24920156419732
80,right,2025-09-24,13-30-00,25031.45601055139,21.732047210045533,18.464847229286352,160.48846078685327
85,left,2025-09-29,15-30-01,11259.36171870191,,8.237997151507123,
85,left,2025-09-29,17-30-00,11705.36662664438,3.9611917538953496,7.988280271838256,-3.0312814519871707
85,left,2025-09-29,18-30-00,11186.406887022345,-4.43351973650061,7.930752648974812,-0.7201502814848846
85,left,2025-09-29,19-30-00,12674.510886441298,13.302788057399756,8.811687511426795,11.10783429320368
85,left,2025-09-30,15-00-00,6663.95463613569,,3.2420386999118893,
85,left,2025-09-30,16-30-00,6819.054666938537,2.3274472782543842,4.432184186103946,36.70978653723048
85,left,2025-09-30,17-30-00,3239.6958803444645,-52.49054247868423,2.022162385548978,-54.37548845806127
