subject_id,side,date,iemg_percent_seconds,day_iemg_percent_seconds_pct_change,apdf_p50,day_apdf_p50_pct_change
107,left,2025-10-13,4376.658270656302,,1.674193780501563,
107,left,2025-10-14,4011.2155765326556,-8.349811009321652,1.677307835199631,0.1860032413413333
107,left,2025-10-15,3684.4642826671075,-8.145941987690327,1.7339866589771495,3.379154534908186
107,left,2025-10-16,3252.4077584964457,-11.726440834375655,1.0904555981490822,-37.11280346341741
107,left,2025-10-17,3286.686895537994,1.053961851861875,1.7755537353737405,62.82677977787727
107,right,2025-10-13,8248.294720605325,,4.478245192874823,
107,right,2025-10-14,2273.6414144152695,-72.43501243068565,1.0773546678103303,-75.94248145401974
107,right,2025-10-16,3058.3208840473303,34.51201516022099,1.5070057327725817,39.880187815540424
107,right,2025-10-17,1781.0140600344532,-41.76497079412121,1.1130666404669214,-26.140517168497635
80,left,2025-09-24,35786.73931134421,,29.80377420855305,
80,right,2025-09-24,28239.62396671762,,18.763127677766303,
85,left,2025-09-29,11706.411529702484,,8.242179395936747,
85,left,2025-09-30,5967.971180115424,-49.019636248281635,3.799527943904654,-53.90141658676156
85,left,2025-10-01,9738.209074966777,63.17453253483093,5.989825506768451,57.64657071091042
85,left,2025-10-02,10751.588909759055,10.406223844559793,6.849259932792034,14.34823810898046
85,left,2025-10-03,13755.4866379294,27.939105125603824,7.433827477172614,8.534754851131591
85,right,2025-09-29,11241.25392801118,,6.9851317686335355,
85,right,2025-09-30,6945.786228876553,-38.21164192751749,4.296110977438044,-38.496350251693684
85,right,2025-10-01,19590.656006884907,182.05094947262145,13.934059061417594,224.3412270910905
85,right,2025-10-02,10113.888825809987,-48.3739144709826,7.251508312814462,-47.958392591478486
85,right,2025-10-03,9195.31021715472,-9.082348288337066,6.274006975047193,-13.479972656721397
