subject_id,side,date,iemg_percent_seconds,mean_percent_mvc,max_percent_mvc,min_percent_mvc,apdf_p10,apdf_p50,apdf_p90,session_count
107,left,2025-10-13,4376.658270656302,3.710850625462668,66.96928163208854,0.624143269884554,0.8099530108331242,1.674193780501563,8.994141702710841,4
107,left,2025-10-14,4011.2155765326556,3.4155816496710805,45.73136906114509,0.3750584280178367,0.48421078873807494,1.677307835199631,8.418988929061458,4
107,left,2025-10-15,3684.4642826671075,3.1543542672817133,61.733890999685826,0.7279677272735492,0.9639756179069927,1.7339866589771495,6.566875560718114,4
107,left,2025-10-16,3252.4077584964457,2.790124220920617,36.730687346421746,0.42807988669440417,0.5651529364729456,1.0904555981490822,7.162043743192598,4
107,left,2025-10-17,3286.686895537994,2.8979039343954116,35.22558286732812,0.5410579929446685,0.740663533210561,1.7755537353737405,6.583053378030731,4
107,right,2025-10-13,8248.294720605325,6.95867165754664,80.96533286397097,3.0086791505363273,3.681303331984855,4.478245192874823,13.367808324483782,4
107,right,2025-10-14,2273.6414144152695,1.9542848762941465,27.7864357901547,0.6577473860876264,0.8119148817542736,1.0773546678103303,4.046854782943518,4
107,right,2025-10-16,3058.3208840473303,2.5777629599445366,37.20606844675435,0.6196629172864597,0.7836558495880839,1.5070057327725817,5.887425287043126,3
107,right,2025-10-17,1781.0140600344532,1.5186170854898933,17.547438169927002,0.6819151974585149,0.8534501861524747,1.1130666404669214,2.6559294555687827,3
80,left,2025-09-24,35786.73931134421,31.121867995171627,234.3971869086174,1.9677603068106333,9.324006126461553,29.80377420855305,54.30513861496676,4
80,right,2025-09-24,28239.62396671762,25.60008592189446,160.90041910893754,1.3863036783464344,4.114572092160267,18.763127677766303,57.27978060213296,4
85,left,2025-09-29,11706.411529702484,9.805738775199938,90.28914844214944,5.3223996807556215,6.669309945960701,8.242179395936747,14.508016606547912,4
85,left,2025-09-30,5967.971180115424,5.192906517836832,61.077815459651106,1.5097145273691468,2.0431569261397584,3.799527943904654,9.26732320501402,4
85,left,2025-10-01,9738.209074966777,8.293934158755881,85.6701855135064,2.1140934577423742,3.112797154417626,5.989825506768451,16.554712751983622,4
85,left,2025-10-02,10751.588909759055,9.258979958581632,79.36664019878366,2.9749204318562725,4.038840782802929,6.849259932792034,18.127044685981197,4
85,left,2025-10-03,13755.4866379294,11.546380376605567,80.91270313575997,2.5700315809484984,3.3779998056218643,7.433827477172614,25.820065597380484,4
85,right,2025-09-29,11241.25392801118,9.535361564752247,114.02019590247,3.8549051431472012,5.06352216893394,6.9851317686335355,17.31362555656231,4
85,right,2025-09-30,6945.786228876553,6.079830349490828,71.24479430442713,1.6783546372200853,2.429196540548657,4.296110977438044,10.957195223868037,4
85,right,2025-10-01,19590.656006884907,16.814178351252366,175.52613127079707,4.686027313742412,6.800905260101625,13.934059061417594,29.957809242282675,4
85,right,2025-10-02,10113.888825809987,9.364093663116146,98.24671117091498,1.4569733560701148,2.234683155862969,7.251508312814462,19.716314445691157,4
85,right,2025-10-03,9195.31021715472,8.89091908536843,74.36296017191377,2.5357516098470003,3.412282728045696,6.274006975047193,18.179904786546253,4
